Result
-273145
0
0
0
0
559999
79999
0
351999
0
0
215999
0
215999
119999
279999
151999
0
0
247999
511999
0
0
127999
0
0
0
0
0
0
255999
319999
279999
0
0
0
215999
111999
0
0
135999
287999
303999
0
0
279999
399999
0
0
319999
0
287999
175999
287999
0
0
559999
95999
0
0
0
247999
0
319999
15999
0
775999
311999
175999
0
0
0
295999
319999
303999
319999
295999
303999
23999
287999
215999
319999
303999
167999
0
279999
151999
0
0
223999
-1000000
215999
271999
0
223999
191999
311999
175999
-871999
